Currency,Asks MEXC,Bids MEXC,Asks GateIo,Bids GateIo,Asks HUOBI,Bids HUOBI,Asks Ascendex,Bids Ascendex,diff,diff,diff,diff,diff,diff
EOS,0.989,0.988,0.9904,0.9894,0.9896,0.9893,0.9907,0.9881,Ask:GateIo/Bid:MEXC: 0.242%,Ask:HUOBI/Bid:MEXC: 0.161%,Ask:Ascendex/Bid:MEXC: 0.273%,Ask:GateIo/Bid:HUOBI: 0.111%,Ask:GateIo/Bid:Ascendex: 0.232%,Ask:HUOBI/Bid:Ascendex: 0.151%
AXS,7.387,7.386,7.399,7.385,7.3926,7.3925,7.45,7.33,Ask:GateIo/Bid:MEXC: 0.176%,Ask:HUOBI/Bid:MEXC: 0.089%,Ask:Ascendex/Bid:MEXC: 0.866%,Ask:HUOBI/Bid:GateIo: 0.102%,Ask:GateIo/Bid:Ascendex: 0.941%,Ask:HUOBI/Bid:Ascendex: 0.854%
ALGO,0.1747,0.1746,0.17471,0.17463,0.1748,0.1745,0.1752,0.1749,Ask:GateIo/Bid:MEXC: 0.063%,Ask:HUOBI/Bid:MEXC: 0.114%,Ask:Ascendex/Bid:MEXC: 0.343%,Ask:GateIo/Bid:HUOBI: 0.120%,Ask:Ascendex/Bid:GateIo: 0.326%,Ask:Ascendex/Bid:HUOBI: 0.401%
APT,u,u,9.3124,9.3018,9.3148,9.3064,9.356,9.26,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.139%,Ask:Ascendex/Bid:GateIo: 0.582%,Ask:HUOBI/Bid:Ascendex: 0.591%
BTT,u,u,0.0000006058,0.0000006033,6.057e-07,6.043e-07,0.000000611,0.0000006,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.397%,Ask:Ascendex/Bid:GateIo: 1.276%,Ask:Ascendex/Bid:HUOBI: 1.108%
BCH,u,u,117.1,116.95,117.07,117.04,117.2,116.96,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.102%,Ask:Ascendex/Bid:GateIo: 0.213%,Ask:Ascendex/Bid:HUOBI: 0.136%
DOGE,u,u,0.077331,0.077314,0.077357,0.077356,0.0774,0.0772,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.055%,Ask:GateIo/Bid:Ascendex: 0.169%,Ask:HUOBI/Bid:Ascendex: 0.203%
LINK,u,u,6.9443,6.9439,6.9444,6.9436,6.9524,6.9403,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.010%,Ask:Ascendex/Bid:GateIo: 0.122%,Ask:Ascendex/Bid:HUOBI: 0.126%
AVAX,16.631,16.63,16.644,16.639,16.6536,16.6438,16.64,16.59,Ask:GateIo/Bid:MEXC: 0.084%,Ask:HUOBI/Bid:MEXC: 0.141%,Ask:MEXC/Bid:Ascendex: 0.247%,Ask:HUOBI/Bid:GateIo: 0.087%,Ask:GateIo/Bid:Ascendex: 0.325%,Ask:HUOBI/Bid:Ascendex: 0.383%
BNB,u,u,324.78,324.77,324.71,324.7,324.7,324.3,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.024%,Ask:GateIo/Bid:Ascendex: 0.148%,Ask:HUOBI/Bid:Ascendex: 0.126%
BTC,28948,28947.9,28961,28960.9,28963.28,28963.27,28960.7,28952.05,Ask:GateIo/Bid:MEXC: 0.045%,Ask:HUOBI/Bid:MEXC: 0.053%,Ask:Ascendex/Bid:MEXC: 0.044%,Ask:HUOBI/Bid:GateIo: 0.008%,Ask:GateIo/Bid:Ascendex: 0.030%,Ask:HUOBI/Bid:Ascendex: 0.038%
FXS,u,u,7.51,7.494,u,u,7.552,7.469,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,Ask:Ascendex/Bid:GateIo: 0.773%,HUOBI/Ascendex: unavailable
LTC,u,u,84.03,84.01,84.05,84.03,84.2,83.7,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.047%,Ask:GateIo/Bid:Ascendex: 0.394%,Ask:HUOBI/Bid:Ascendex: 0.418%
ICP,u,u,5.6543,5.6449,5.65,5.64,unavailable,unavailable,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.253%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
OP,u,u,1.8967,1.8964,1.8969,1.8962,1.9013,1.8965,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.026%,Ask:Ascendex/Bid:GateIo: 0.258%,Ask:Ascendex/Bid:HUOBI: 0.268%
LUNC,u,u,0.000096,0.00009591,9.587e-05,9.568e-05,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.334%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
MATIC,u,u,0.9764,0.9758,0.976369,0.976219,0.976676,0.975279,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.058%,Ask:GateIo/Bid:Ascendex: 0.114%,Ask:HUOBI/Bid:Ascendex: 0.111%
ARB,u,u,1.2435,1.24334,1.2438,1.2432,1.244,1.242,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.036%,Ask:GateIo/Bid:Ascendex: 0.120%,Ask:HUOBI/Bid:Ascendex: 0.144%
FIL,u,u,5.1167,5.1149,5.116,5.1144,5.121,5.112,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.044%,Ask:Ascendex/Bid:GateIo: 0.119%,Ask:Ascendex/Bid:HUOBI: 0.129%
IMX,u,u,0.86282,0.86117,0.8619,0.8615,0.8682,0.8549,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.153%,Ask:GateIo/Bid:Ascendex: 0.926%,Ask:HUOBI/Bid:Ascendex: 0.818%
CRV,u,u,0.9067,0.9057,0.9062,0.906,0.9078,0.905,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.077%,Ask:Ascendex/Bid:GateIo: 0.231%,Ask:Ascendex/Bid:HUOBI: 0.198%
XDC,u,u,0.036779,0.036757,0.036987,0.036807,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.625%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
XEC,u,u,0.00002749,0.00002745,2.754e-05,2.734e-05,0.0000277,0.0000273,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.548%,Ask:Ascendex/Bid:GateIo: 0.910%,Ask:Ascendex/Bid:HUOBI: 1.316%
RETH,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
XRP,0.458,0.4579,0.45824,0.45817,0.45833,0.45827,0.4584,0.45804,Ask:GateIo/Bid:MEXC: 0.074%,Ask:HUOBI/Bid:MEXC: 0.093%,Ask:Ascendex/Bid:MEXC: 0.109%,Ask:HUOBI/Bid:GateIo: 0.034%,Ask:Ascendex/Bid:GateIo: 0.050%,Ask:HUOBI/Bid:Ascendex: 0.063%
TRX,u,u,0.06993,0.06992,0.069969,0.069968,0.06999,0.06992,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.070%,Ask:Ascendex/Bid:GateIo: 0.100%,Ask:HUOBI/Bid:Ascendex: 0.070%
FTM,u,u,0.41137,0.41123,0.4116,0.4114,0.411657,0.410615,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.089%,Ask:GateIo/Bid:Ascendex: 0.183%,Ask:HUOBI/Bid:Ascendex: 0.239%
FLR,u,u,0.028115,0.028074,0.0283,0.0279,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.805%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
IOTA,u,u,0.199,0.1966,0.1937,0.1934,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 2.895%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
TWT,u,u,1.152,1.1502,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
NEAR,u,u,1.7681,1.7674,1.7676,1.7675,1.781,1.759,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.033%,Ask:Ascendex/Bid:GateIo: 0.769%,Ask:Ascendex/Bid:HUOBI: 0.763%
STX,u,u,0.7383,0.73713,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CHZ,u,u,0.12583,0.12571,0.125733,0.125694,0.126629,0.124874,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.108%,Ask:GateIo/Bid:Ascendex: 0.765%,Ask:Ascendex/Bid:HUOBI: 0.743%
RPL,u,u,49.379,49.361,49.5829,48.9727,49.68,49.09,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.829%,Ask:Ascendex/Bid:GateIo: 0.646%,Ask:Ascendex/Bid:HUOBI: 1.444%
INJ,u,u,7.4206,7.4173,7.4319,7.4262,7.468,7.389,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.196%,Ask:Ascendex/Bid:GateIo: 0.683%,Ask:HUOBI/Bid:Ascendex: 0.580%
UNI,u,u,5.328,5.3265,5.3297,5.3287,5.337,5.328,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.060%,Ask:Ascendex/Bid:GateIo: 0.197%,Ask:Ascendex/Bid:HUOBI: 0.155%
XAUT,u,u,2017.39,2014,2015.41,2010.37,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.349%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
RUNE,u,u,1.3026,1.2999,u,u,1.303,1.3,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,Ask:Ascendex/Bid:GateIo: 0.238%,HUOBI/Ascendex: unavailable
MKR,u,u,699.81,697.79,698.54,698.04,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.253%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SAND,0.5485,0.5484,0.5487,0.5483,0.548794,0.548717,0.5515,0.5458,Ask:GateIo/Bid:MEXC: 0.054%,Ask:HUOBI/Bid:MEXC: 0.071%,Ask:Ascendex/Bid:MEXC: 0.565%,Ask:HUOBI/Bid:GateIo: 0.090%,Ask:Ascendex/Bid:GateIo: 0.583%,Ask:HUOBI/Bid:Ascendex: 0.548%
CVX,u,u,5.185,5.1738,5.1859,5.1714,5.209,5.153,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.262%,Ask:Ascendex/Bid:GateIo: 0.680%,Ask:Ascendex/Bid:HUOBI: 0.727%
ATOM,u,u,10.9211,10.9196,10.9216,10.9192,10.9296,10.9092,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.018%,Ask:GateIo/Bid:Ascendex: 0.109%,Ask:HUOBI/Bid:Ascendex: 0.113%
BSV,u,u,32.745,32.67,32.7098,32.6578,33.21,28.26,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.267%,Ask:GateIo/Bid:Ascendex: 15.87%,Ask:HUOBI/Bid:Ascendex: 15.74%
1INCH,u,u,0.45274,0.45259,0.453109,0.452878,0.4532,0.4519,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.114%,Ask:GateIo/Bid:Ascendex: 0.185%,Ask:HUOBI/Bid:Ascendex: 0.267%
KAS,u,u,0.025655,0.025631,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
GRT,u,u,0.127249,0.127109,0.127273,0.1272,0.128,0.1268,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.129%,Ask:Ascendex/Bid:GateIo: 0.700%,Ask:Ascendex/Bid:HUOBI: 0.628%
AGIX,u,u,0.28368,0.28358,0.2837,0.2835,0.2851,0.2823,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.063%,Ask:Ascendex/Bid:GateIo: 0.536%,Ask:Ascendex/Bid:HUOBI: 0.564%
FLOW,u,u,0.8504,0.8488,0.8498,0.849,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.164%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
OKB,u,u,45.669,45.427,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DYDX,u,u,2.4077,2.4056,2.4091,2.4082,2.423,2.394,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.145%,Ask:Ascendex/Bid:GateIo: 0.723%,Ask:HUOBI/Bid:Ascendex: 0.630%
MINA,u,u,0.59383,0.59335,0.5938,0.5934,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.075%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
NEXO,u,u,0.7083,0.7036,0.71,0.7056,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.909%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CSPR,u,u,0.056767,0.056667,0.0571,0.057,0.0578,0.0569,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.764%,Ask:Ascendex/Bid:GateIo: 1.999%,Ask:Ascendex/Bid:HUOBI: 1.403%
CAKE,u,u,2.1237,2.1208,2.1227,2.1213,2.134,2.115,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.113%,Ask:Ascendex/Bid:GateIo: 0.622%,Ask:Ascendex/Bid:HUOBI: 0.598%
VET,u,u,0.02046,0.02042,0.020452,0.020434,0.020463,0.02042,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.156%,Ask:Ascendex/Bid:GateIo: 0.210%,Ask:HUOBI/Bid:Ascendex: 0.156%
AR,u,u,7.35,7.34,7.3538,7.3503,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.188%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
WOO,u,u,0.28049,0.27967,0.2805,0.28032,0.27994,0.27918,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.296%,Ask:GateIo/Bid:Ascendex: 0.469%,Ask:HUOBI/Bid:Ascendex: 0.472%
FLOKI,u,u,0.0000404845,0.0000404326,4.048e-05,4.045e-05,0.0000413,0.0000408,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.117%,Ask:Ascendex/Bid:GateIo: 2.145%,Ask:Ascendex/Bid:HUOBI: 2.101%
MASK,u,u,4.31646,4.3095,4.3121,4.3097,4.338,4.287,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.156%,Ask:GateIo/Bid:Ascendex: 0.687%,Ask:Ascendex/Bid:HUOBI: 0.656%
ETC,u,u,18.967,18.962,18.9682,18.9681,18.9795,18.9403,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.032%,Ask:GateIo/Bid:Ascendex: 0.140%,Ask:HUOBI/Bid:Ascendex: 0.147%
BAT,u,u,0.2325,0.2316,0.2315,0.2311,0.2314,0.23093,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.605%,Ask:GateIo/Bid:Ascendex: 0.679%,Ask:HUOBI/Bid:Ascendex: 0.246%
DASH,u,u,45.94,45.89,45.9,45.87,45.97,45.87,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.152%,Ask:Ascendex/Bid:GateIo: 0.174%,Ask:Ascendex/Bid:HUOBI: 0.218%
LDO,u,u,1.8408,1.8404,1.8433,1.8408,1.8542,1.8308,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.157%,Ask:Ascendex/Bid:GateIo: 0.749%,Ask:Ascendex/Bid:HUOBI: 0.727%
KLAY,u,u,0.2252,0.2249,0.2252,0.225,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.133%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BABYDOGE,u,u,0.0000000023351,0.0000000023338,2.48e-09,2.456e-09,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 6.264%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
NEO,u,u,9.96,9.94,9.96,9.95,9.974,9.942,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.201%,Ask:Ascendex/Bid:GateIo: 0.342%,Ask:Ascendex/Bid:HUOBI: 0.241%
SXP,u,u,0.49152,0.49132,0.4934,0.4928,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.423%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
HBAR,u,u,0.056865,0.05684,0.05687,0.056847,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.052%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ZIL,u,u,0.026477,0.026414,0.026459,0.026441,0.026473,0.026417,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.170%,Ask:GateIo/Bid:Ascendex: 0.227%,Ask:HUOBI/Bid:Ascendex: 0.158%
SNX,u,u,2.3879,2.3835,2.3864,2.3842,2.4,2.372,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.155%,Ask:Ascendex/Bid:GateIo: 0.692%,Ask:Ascendex/Bid:HUOBI: 0.662%
XTZ,u,u,0.9795,0.9762,0.9793,0.9784,0.9823,0.9795,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.317%,Ask:Ascendex/Bid:GateIo: 0.624%,Ask:Ascendex/Bid:HUOBI: 0.398%
THETA,u,u,0.96,0.9588,0.9605,0.9596,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.177%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
